ID,Name,Full Name,Alter Egos,Publisher,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat
193,Cy-Gor,,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,96,null,null,null,null
194,Cyborg,Victor Stone,No alter egos found.,DC Comics,good,Male,Cyborg,6'6 // 198 cm,385 lb // 173 kg,75,53,42,85,71,64
195,Cyborg Superman,Henry Henshaw,No alter egos found.,DC Comics,bad,Male,Cyborg,- // 0 cm,- lb // 0 kg,75,93,92,100,100,80
196,Cyclops,Scott Summers,No alter egos found.,Marvel Comics,good,Male,Mutant,6'3 // 191 cm,195 lb // 88 kg,75,10,23,42,76,80
197,Cypher,Douglas Aaron Ramsey,No alter egos found.,Marvel Comics,good,-,null,5'9' // 175 cm,150 lb // 68 kg,null,44,null,null,null,null
198,Dagger,Tandy Bowen,No alter egos found.,Marvel Comics,good,Female,null,"Shaker Heights, Ohio",116 lb // 52 kg,63,10,35,42,52,70
199,Danny Cooper,,No alter egos found.,HarperCollins,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
200,Daphne Powell,Daphne Powell,No alter egos found.,ABC Studios,good,Female,null,- // 0 cm,- lb // 0 kg,38,10,8,10,56,10
201,Daredevil,Matt Murdock,No alter egos found.,Marvel Comics,good,Male,Human,6'0 // 183 cm,200 lb // 90 kg,75,13,25,35,61,100
202,Darkhawk,Christopher Powell,No alter egos found.,Marvel Comics,good,Male,Human,6'1 // 185 cm,180 lb // 81 kg,50,32,33,70,74,64
203,Darkman,Peyton Westlake,No alter egos found.,Universal Studios,good,Male,null,- // 0 cm,- lb // 0 kg,75,14,23,85,12,28
204,Darkseid,Uxas,No alter egos found.,DC Comics,bad,Male,New God,8'9 // 267 cm,1815 lb // 817 kg,88,100,83,100,100,95
205,Darkside,,No alter egos found.,null,bad,-,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
206,Darkstar,Laynia Petrovna,No alter egos found.,Marvel Comics,good,Female,Mutant,5'6 // 168 cm,125 lb // 56 kg,38,8,35,42,79,64
207,Darth Maul,,No alter egos found.,George Lucas,bad,Male,Dathomirian Zabrak,5'7 // 170 cm,- lb // 0 kg,56,48,50,30,100,100
208,Darth Vader,Anakin Skywalker,No alter egos found.,George Lucas,bad,Male,Cyborg,6'6 // 198 cm,300 lb // 135 kg,69,48,33,35,100,100
209,Dash,Dashiell Robert Parr,No alter egos found.,Dark Horse Comics,good,Male,Human,4'0 // 122 cm,60 lb // 27 kg,25,12,92,60,20,30
210,Data,Data,No alter egos found.,Star Trek,good,Male,Android,- // 0 cm,- lb // 0 kg,100,32,21,40,56,50
211,Dazzler,Alison Blaire,No alter egos found.,Marvel Comics,good,Female,Mutant,5'8 // 173 cm,115 lb // 52 kg,63,10,33,60,100,55
212,Deadman,Boston Brand,No alter egos found.,DC Comics,good,Male,Human,6'0 // 183 cm,201 lb // 90 kg,50,10,33,100,100,42
213,Deadpool,Wade Wilson,"Evil Deadpool, Venompool",Evil Deadpool,neutral,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,69,32,50,100,100,100
214,Deadshot,Floyd Lawton,No alter egos found.,DC Comics,bad,Male,Human,6'1 // 185 cm,202 lb // 91 kg,50,10,23,28,55,80
215,Deathlok,Luther Manning,No alter egos found.,Marvel Comics,good,Male,Cyborg,6'4 // 193 cm,395 lb // 178 kg,69,32,30,70,40,60
216,Deathstroke,Slade Joseph Wilson,No alter egos found.,DC Comics,neutral,Male,Human,6'4 // 193 cm,225 lb // 101 kg,75,30,35,100,47,90
217,Demogoblin,,No alter egos found.,Marvel Comics,bad,Male,Demon,6'1 // 185 cm,210 lb // 95 kg,50,48,42,35,67,60
218,Destroyer,,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,850 lb // 383 kg,50,95,58,98,85,70
219,Diamondback,Willis Stryker,No alter egos found.,Marvel Comics,bad,Male,Human,6'4 // 193 cm,200 lb // 90 kg,44,16,23,28,45,60
220,DL Hawkins,Daniel Lawrence Hawkins,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,50,12,12,56,48,56
221,Doc Samson,Leonard Samson,No alter egos found.,Marvel Comics,good,Male,Human / Radiation,6'6 // 198 cm,380 lb // 171 kg,75,80,33,80,36,70
222,Doctor Doom,Victor von Doom,No alter egos found.,Marvel Comics,bad,Male,Human,6'7 // 201 cm,415 lb // 187 kg,100,32,20,100,100,84
223,Doctor Doom II,Kristoff Vernard,No alter egos found.,Marvel Comics,bad,Male,null,6'7 // 201 cm,293 lb // 132 kg,null,null,null,null,null,null
224,Doctor Fate,Kent Nelson,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,197 lb // 89 kg,81,16,25,80,100,50
225,Doctor Octopus,Otto Octavius,No alter egos found.,Marvel Comics,bad,Male,Human,5'9 // 175 cm,245 lb // 110 kg,94,48,33,40,53,65
226,Doctor Strange,Stephen Strange,No alter egos found.,Marvel Comics,good,Male,Human,6'2 // 188 cm,180 lb // 81 kg,100,10,12,84,100,60
227,Domino,Neena Thurman,No alter egos found.,Marvel Comics,good,Female,Human,5'8 // 173 cm,120 lb // 54 kg,63,10,27,28,49,74
228,Donatello,,No alter egos found.,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,88,14,46,60,58,75
229,Donna Troy,Donna Hinckley Stacey Troy,No alter egos found.,DC Comics,good,Female,Amazon,5'9 // 175 cm,140 lb // 63 kg,null,89,null,null,null,null
230,Doomsday,Doomsday,No alter egos found.,DC Comics,bad,Male,Alien,8'0 // 244 cm,915 lb // 412 kg,75,100,67,100,100,90
231,Doppelganger,,No alter egos found.,Marvel Comics,bad,Male,null,6'5 // 196 cm,230 lb // 104 kg,8,63,60,95,69,84
232,Dormammu,Dormammu,No alter egos found.,Marvel Comics,bad,Male,null,6'1 // 185 cm,- lb // 0 kg,88,95,83,100,100,80
233,Dr Manhattan,Jonathan Osterman,No alter egos found.,DC Comics,good,Male,Human / Cosmic,- // 0 cm,- lb // 0 kg,88,100,42,100,100,42
234,Drax the Destroyer,Arthur Sampson Douglas,No alter egos found.,Marvel Comics,good,Male,Human / Altered,6'4 // 193 cm,680 lb // 306 kg,56,80,25,85,46,65
235,Ego,Ego,No alter egos found.,Marvel Comics,bad,-,null,- // 0 cm,- lb // 0 kg,88,80,83,99,71,28
236,Elastigirl,Helen Parr,No alter egos found.,Dark Horse Comics,good,Female,Human,5'6 // 168 cm,125 lb // 56 kg,63,32,33,95,52,70
237,Electro,Maxwell Dillon,No alter egos found.,Marvel Comics,bad,Male,Human,5'11 // 180 cm,165 lb // 74 kg,69,10,50,56,67,64
238,Elektra,Elektra Natchios,No alter egos found.,Marvel Comics,good,Female,Human,5'9 // 175 cm,130 lb // 59 kg,63,11,30,28,59,100
239,Elle Bishop,,No alter egos found.,NBC - Heroes,bad,Female,null,- // 0 cm,- lb // 0 kg,50,8,12,42,63,42
240,Elongated Man,Ralph Dibny,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,178 lb // 80 kg,75,10,33,90,44,40
241,Emma Frost,Emma Frost,No alter egos found.,Marvel Comics,good,Female,null,5'10' // 178 cm,144 lb // 65 kg,75,63,35,90,100,42
242,Enchantress,June Moone,No alter egos found.,DC Comics,good,Female,Human,5'6 // 168 cm,126 lb // 57 kg,63,14,25,60,100,40
243,Energy,,No alter egos found.,HarperCollins,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
244,ERG-1,,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
245,Ethan Hunt,Ethan Hunt,No alter egos found.,null,good,Male,Human,5'6 // 168 cm,- lb // 0 kg,75,11,29,30,26,95
246,Etrigan,Jason Blood,No alter egos found.,DC Comics,neutral,Male,Demon,6'4 // 193 cm,452 lb // 203 kg,50,85,17,100,100,50
247,Evil Deadpool,Wade Wilson,"Deadpool, Venompool",Deadpool,bad,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,69,32,50,100,100,100
248,Evilhawk,Dargin Bokk,No alter egos found.,Marvel Comics,bad,Male,Alien,6'3 // 191 cm,235 lb // 106 kg,50,32,33,70,85,64
249,Exodus,Bennet du Paris,No alter egos found.,Marvel Comics,bad,Male,Mutant,6'0 // 183 cm,195 lb // 88 kg,63,81,28,28,100,70
250,Fabian Cortez,Fabian Cortez,No alter egos found.,Marvel Comics,bad,-,null,6'5 // 196 cm,214 lb // 96 kg,null,null,null,null,null,null
251,Falcon,Sam Wilson,No alter egos found.,Marvel Comics,good,Male,Human,6'2 // 188 cm,240 lb // 108 kg,38,13,50,28,22,64
252,Fallen One II,,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,88,85,83,100,100,56
253,Faora,Faora Hu-Ul,No alter egos found.,DC Comics,bad,Female,Kryptonian,- // 0 cm,- lb // 0 kg,88,95,75,100,98,90
254,Feral,Maria Callasantos,No alter egos found.,Marvel Comics,good,-,null,5'9 // 175 cm,110 lb // 50 kg,38,28,45,28,27,70
255,Fighting Spirit,Carol Carter,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
256,Fin Fang Foom,,No alter egos found.,Marvel Comics,good,Male,Kakarantharaian,32'0 // 975 cm,40000 lb // 18 tons,50,81,23,100,75,70
257,Firebird,Bonita Juarez,No alter egos found.,Marvel Comics,good,Female,null,5'5' // 165 cm,125 lb // 56 kg,38,8,40,14,100,42
258,Firelord,Pyreus Kril,No alter egos found.,Marvel Comics,good,-,null,6'4' // 193 cm,220 lb // 99 kg,38,63,75,90,52,28
259,Firestar,Angelica Jones,No alter egos found.,Marvel Comics,good,Female,Mutant,5'8 // 173 cm,125 lb // 56 kg,50,8,54,55,71,32
260,Firestorm,Jason Rusch,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,50,53,58,56,100,42
261,Firestorm,Ronald Raymond,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,202 lb // 91 kg,38,80,58,80,100,40
262,Fixer,Paul Norbert Ebersol,No alter egos found.,Marvel Comics,bad,-,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
263,Flash,Jay Garrick,No alter egos found.,DC Comics,good,Male,Human,5'11 // 180 cm,179 lb // 81 kg,63,10,100,50,68,32
264,Flash Gordon,Steven Gordon,No alter egos found.,null,good,Male,null,- // 0 cm,- lb // 0 kg,null,69,null,null,null,null
265,Flash II,Barry Allen,Black Racer,Black Racer,good,Male,Black Racer,6'0 // 183 cm,195 lb // 88 kg,88,48,100,60,100,60
266,Flash III,Wally West,Speed Demon,Speed Demon,good,Male,Human,6'0 // 183 cm,190 lb // 86 kg,63,10,100,60,100,32
267,Flash IV,Bartholomew Allen II,"Impulse, Kid Flash II",Impulse,good,Male,Human,5'2 // 157 cm,115 lb // 52 kg,63,10,100,32,100,48
268,Forge,,No alter egos found.,Marvel Comics,good,-,null,6' // 183 cm,180 lb // 81 kg,63,10,12,28,25,48
269,Franklin Richards,Franklin  Richards,No alter egos found.,Marvel Comics,good,Male,Mutant,4'8 // 142 cm,100 lb // 45 kg,63,80,50,60,100,50
270,Franklin Storm,Dr. Franklin Storm,No alter egos found.,Marvel Comics,good,-,null,6'2' // 188 cm,205 lb // 92 kg,38,10,1,1,0,10
271,Frenzy,Joanna Cargill,No alter egos found.,Marvel Comics,bad,Female,null,6'11 // 211 cm,230 lb // 104 kg,63,53,35,100,38,52
272,Frigga,Frigga,No alter egos found.,Marvel Comics,good,Female,null,5'11' // 180 cm,370 lb // 167 kg,null,null,null,null,null,null
273,Galactus,Galan,No alter egos found.,Marvel Comics,neutral,Male,Cosmic Entity,28'9 // 876 cm,36400 lb // 16 tons,100,100,83,100,100,50
274,Gambit,Remy Etienne LeBeau,No alter egos found.,Marvel Comics,good,Male,Mutant,6'1 // 185 cm,179 lb // 81 kg,63,10,23,28,55,84
275,Gamora,Gamora Zen Whoberi Ben Titan,No alter egos found.,Marvel Comics,good,Female,Zen-Whoberian,6'0 // 183 cm,170 lb // 77 kg,75,85,42,85,53,100
276,Garbage Man,Richard Ethan Morse,No alter egos found.,DC Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,null,82,null,null,null,null
277,Gary Bell,Gary Bell,No alter egos found.,SyFy,good,Male,Alpha,- // 0 cm,- lb // 0 kg,63,5,8,10,54,10
278,General Zod,Dru-Zod,No alter egos found.,DC Comics,bad,Male,Kryptonian,- // 0 cm,- lb // 0 kg,94,100,96,100,100,95
279,Genesis,Tyler Dayspring,No alter egos found.,Marvel Comics,good,Male,null,6'1 // 185 cm,191 lb // 86 kg,null,68,null,null,null,null
280,Ghost Rider,Johnny Blaze,No alter egos found.,Marvel Comics,good,Male,Demon,6'2 // 188 cm,220 lb // 99 kg,50,55,25,100,100,60
281,Ghost Rider II,Daniel Ketch,No alter egos found.,Marvel Comics,good,-,null,- // 0 cm,- lb // 0 kg,null,70,null,null,null,null
282,Giant-Man,Hank Pym,"Ant-Man, Goliath, Wasp II, Yellowjacket",Ant-Man,good,Male,Human,- // 0 cm,- lb // 0 kg,null,78,null,null,null,null
283,Giant-Man II,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
284,Giganta,Doris Zuel,No alter egos found.,DC Comics,bad,Female,null,205 // 62.5 meters,1400 lb // 630 kg,81,89,23,85,32,42
285,Gladiator,Kallark,No alter egos found.,Marvel Comics,neutral,Male,Strontian,6'6 // 198 cm,595 lb // 268 kg,50,100,100,100,77,70
286,Goblin Queen,Madelyne Jennifer Pryor,No alter egos found.,Marvel Comics,bad,Female,null,5'6 // 168 cm,110 lb // 50 kg,75,10,23,28,65,56
287,Godzilla,Gojira,No alter egos found.,,bad,-,Kaiju,354'4 // 108.0 meters,"200000000 lb // 90,000 tons",44,100,54,100,100,20
288,Gog,,No alter egos found.,DC Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,50,34,47,72,39,56
289,Goku,Kakarot,No alter egos found.,Shueisha,good,Male,Saiyan,5'9 // 175 cm,137 lb // 62 kg,56,100,75,90,100,100
290,Goliath,Erik Josten,"Atlas, Power Man, Smuggler",Atlas,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
291,Goliath,Clint Barton,"Hawkeye, Ronin",Hawkeye,good,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
292,Goliath,Hank Pym,"Ant-Man, Giant-Man, Wasp II, Yellowjacket",Ant-Man,good,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
293,Goliath IV,William Barrett Foster,No alter egos found.,Marvel Comics,good,Male,null,6' // 183 cm,200 lb // 90 kg,null,null,null,null,null,null
294,Gorilla Grodd,Grodd,No alter egos found.,DC Comics,bad,Male,Gorilla,6'6 // 198 cm,600 lb // 270 kg,81,53,33,70,100,65
295,Granny Goodness,,No alter egos found.,DC Comics,bad,Female,null,5'10 // 178 cm,256 lb // 115 kg,null,96,null,null,null,null
296,Gravity,Greg Willis,No alter egos found.,Marvel Comics,good,Male,Human,5'10 // 178 cm,175 lb // 79 kg,50,32,33,40,69,30
297,Greedo,Greedo,No alter egos found.,George Lucas,bad,Male,Rodian,5'7 // 170 cm,- lb // 0 kg,38,10,13,15,31,40
298,Green Arrow,Oliver Queen,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,195 lb // 88 kg,81,12,35,28,39,90
299,Green Goblin,Norman Osborn,No alter egos found.,Marvel Comics,bad,Male,Human,5'11 // 180 cm,185 lb // 83 kg,100,48,38,60,48,50
300,Green Goblin II,Harold Osborn,No alter egos found.,Marvel Comics,bad,Male,null,5'10 // 178 cm,170 lb // 77 kg,75,55,37,50,44,26
301,Green Goblin III,Barton Hamilton,No alter egos found.,Marvel Comics,good,Male,null,6' // 183 cm,195 lb // 88 kg,null,null,null,null,null,null
302,Green Goblin IV,Phillip Benjamin Urich,No alter egos found.,Marvel Comics,good,Male,null,5'10 // 178 cm,175 lb // 79 kg,null,null,null,null,null,null
303,Groot,Groot,No alter egos found.,Marvel Comics,good,Male,Flora Colossus,23'0 // 701 cm,8200 lb // 4 tons,75,85,33,70,100,64
304,Guardian,James Hudson,No alter egos found.,Marvel Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,null,45,null,null,null,null
305,Guy Gardner,Guy Gardner,No alter egos found.,DC Comics,good,Male,Human-Vuldarian,6'2 // 188 cm,210 lb // 95 kg,38,90,53,64,100,64
306,Hal Jordan,Hal Jordan,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,200 lb // 90 kg,69,90,75,80,100,70
307,Han Solo,Han Solo,No alter egos found.,George Lucas,good,Male,Human,6'0 // 183 cm,176 lb // 79 kg,50,10,17,20,43,60
308,Hancock,John Hancock,No alter egos found.,Sony Pictures,good,Male,Human,6'2 // 188 cm,- lb // 0 kg,63,90,67,100,100,50
309,Harley Quinn,Harley Quinn,No alter egos found.,DC Comics,bad,Female,Human,5'7 // 170 cm,140 lb // 63 kg,88,12,33,65,55,80
310,Harry Potter,Harry James Potter,No alter egos found.,J. K. Rowling,good,Male,Human,- // 0 cm,- lb // 0 kg,75,7,21,10,100,50
311,Havok,Alexander Summers,No alter egos found.,Marvel Comics,good,Male,Mutant,6' // 183 cm,175 lb // 79 kg,63,10,25,60,71,45
312,Hawk,Henry Hall,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,197 lb // 89 kg,38,38,35,95,43,42
313,Hawkeye,Clint Barton,"Goliath, Ronin",Goliath,good,Male,Human,6'3 // 191 cm,230 lb // 104 kg,56,12,21,10,29,80
314,Hawkeye II,Katherine Elizabeth Bishop,No alter egos found.,Marvel Comics,good,Female,Human,5'5 // 165 cm,126 lb // 57 kg,50,6,8,10,24,50
315,Hawkgirl,Kendra Saunders,No alter egos found.,DC Comics,good,Female,null,5'9 // 175 cm,135 lb // 61 kg,50,28,53,99,96,72
316,Hawkman,Carter Hall,No alter egos found.,DC Comics,good,Male,null,6'1 // 185 cm,195 lb // 88 kg,null,66,null,null,null,null
317,Hawkwoman,Shayera Hol,No alter egos found.,DC Comics,good,Female,null,5'9 // 175 cm,120 lb // 54 kg,null,96,null,null,null,null
318,Hawkwoman II,Sharon Parker,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
319,Hawkwoman III,Shayera Thal,No alter egos found.,DC Comics,good,Female,null,5'7 // 170 cm,145 lb // 65 kg,null,92,null,null,null,null
320,Heat Wave,Mick Rory,No alter egos found.,DC Comics,bad,Male,Human,5'11 // 180 cm,179 lb // 81 kg,38,10,17,45,27,30
321,Hela,,No alter egos found.,Marvel Comics,bad,Female,Asgardian,7'0 // 213 cm,500 lb // 225 kg,63,100,46,100,100,45
322,Hellboy,Anung Un Rama,No alter egos found.,Dark Horse Comics,good,Male,Demon,8'6 // 259 cm,350 lb // 158 kg,63,53,21,95,73,75
323,Hellcat,Patricia Walker,No alter egos found.,Marvel Comics,good,Female,Human,5'8 // 173 cm,135 lb // 61 kg,63,11,33,45,46,70
324,Hellstorm,Daimon Hellstrom,No alter egos found.,Marvel Comics,good,Male,null,6'1' // 185 cm,180 lb // 81 kg,null,56,null,null,null,null
325,Hercules,Heracles,No alter egos found.,Marvel Comics,good,Male,Demi-God,6'5 // 196 cm,325 lb // 146 kg,63,100,46,85,89,100
326,Hiro Nakamura,Hiro Nakamura,No alter egos found.,NBC - Heroes,good,Male,null,- // 0 cm,- lb // 0 kg,null,15,null,null,null,null
327,Hit-Girl,Mindy McCready,No alter egos found.,Icon Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,56,7,29,20,27,65
328,Hobgoblin,Roderick Kingsley,No alter egos found.,Marvel Comics,bad,Male,null,5'11 // 180 cm,185 lb // 83 kg,null,53,null,null,null,null
329,Hollow,Monet St. Croix,No alter egos found.,Marvel Comics,good,Female,null,5'7 // 170 cm,- lb // 0 kg,null,null,null,null,null,null
330,Hope Summers,Hope Summers,No alter egos found.,Marvel Comics,good,Female,null,5'6 // 168 cm,106 lb // 48 kg,63,10,12,32,93,75
331,Howard the Duck,Howard (Last name unrevealed),No alter egos found.,Marvel Comics,good,Male,null,2'7' // 79 cm,40 lb // 18 kg,null,44,null,null,null,null
332,Hulk,Bruce Banner,No alter egos found.,Marvel Comics,good,Male,Human / Radiation,8'0 // 244 cm,1400 lb // 630 kg,88,100,63,100,98,85
333,Human Torch,Johnny Storm,No alter egos found.,Marvel Comics,good,Male,Human / Radiation,5'10 // 178 cm,170 lb // 77 kg,63,11,63,70,87,42
334,Huntress,Helena Rosa Bertinelli,Batgirl III,Batgirl III,good,Female,null,5'11 // 180 cm,130 lb // 59 kg,69,10,23,28,34,95
335,Husk,Paige Elisabeth Guthrie,No alter egos found.,Marvel Comics,good,Female,Mutant,5'7 // 170 cm,128 lb // 58 kg,63,63,35,78,48,64
336,Hybrid,Scott Washington,No alter egos found.,Marvel Comics,good,Male,Symbiote,5'9 // 175 cm,172 lb // 77 kg,63,63,58,75,100,80
337,Hydro-Man,Morris Bench,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,265 lb // 119 kg,38,13,25,80,66,50
338,Hyperion,Mark Milton,No alter egos found.,Marvel Comics,good,Male,Eternal,6'0 // 183 cm,460 lb // 207 kg,88,100,100,95,87,80
339,Iceman,Bobby Drake,No alter egos found.,Marvel Comics,good,Male,Mutant,5'8 // 173 cm,145 lb // 65 kg,63,32,53,100,100,64
340,Impulse,Bartholomew Allen II,"Flash IV, Kid Flash II",Flash IV,good,Male,Human,5'7 // 170 cm,145 lb // 65 kg,50,10,100,60,74,60
341,Indiana Jones,Indiana Jones,No alter egos found.,George Lucas,good,Male,Human,6'0 // 183 cm,176 lb // 79 kg,69,10,17,30,19,30
342,Indigo,Iroque,No alter egos found.,DC Comics,neutral,Female,Alien,- // 0 cm,- lb // 0 kg,75,63,50,50,100,50
343,Ink,Eric Gitter,No alter egos found.,Marvel Comics,good,Male,Mutant,5'11 // 180 cm,180 lb // 81 kg,38,28,17,40,73,50
344,Invisible Woman,Susan Storm Richards,No alter egos found.,Marvel Comics,good,Female,Human / Radiation,5'6 // 168 cm,120 lb // 54 kg,88,10,27,85,93,56
345,Iron Fist,Danny Rand,No alter egos found.,Marvel Comics,good,Male,Human,5'11 // 180 cm,175 lb // 79 kg,75,55,33,50,95,100
346,Iron Man,Tony Stark,No alter egos found.,Marvel Comics,good,Male,Human,6'6 // 198 cm,425 lb // 191 kg,100,85,58,85,100,64
347,Iron Monger,Obadiah Stane,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,4230 lb // 2 tons,88,63,25,90,57,56
348,Isis,Adrianna Tomaz,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,75,48,75,46,50,56
349,Jack Bauer,Kiefer Sutherland,No alter egos found.,null,good,Male,null,- // 0 cm,- lb // 0 kg,null,43,null,null,null,null
350,Jack of Hearts,Jonathan Hart,No alter egos found.,Marvel Comics,good,Male,Human,5'1 // 155 cm,175 lb // 79 kg,63,55,100,30,77,30
351,Jack-Jack,Jack-Jack Parr,No alter egos found.,Dark Horse Comics,good,Male,Human,2'4 // 71 cm,30 lb // 14 kg,6,34,67,80,100,6
352,James Bond,James Bond,No alter egos found.,Titan Books,good,Male,Human,6'0 // 183 cm,- lb // 0 kg,88,13,17,35,25,90
353,James T. Kirk,James T. Kirk,No alter egos found.,Star Trek,good,Male,Human,5'10 // 178 cm,170 lb // 77 kg,69,11,17,30,30,75
354,Jar Jar Binks,Jar Jar Binks,No alter egos found.,George Lucas,good,Male,Gungan,6'4 // 193 cm,- lb // 0 kg,10,6,33,10,21,15
355,Jason Bourne,Jason Bourne,No alter egos found.,null,good,Male,Human,- // 0 cm,- lb // 0 kg,88,12,29,30,26,100
356,Jean Grey,Jean Grey,"Phoenix, White Phoenix of The Crown",Phoenix,good,Female,Mutant,5'6 // 168 cm,115 lb // 52 kg,94,80,21,20,92,70
357,Jean-Luc Picard,Jean-Luc Picard,No alter egos found.,Star Trek,good,Male,Human,- // 0 cm,- lb // 0 kg,75,10,17,30,26,65
358,Jennifer Kale,Jennifer Kale,No alter egos found.,Marvel Comics,good,Female,null,5'6 // 168 cm,122 lb // 55 kg,75,10,35,42,74,72
359,Jesse Quick,Jesse Chambers,Liberty Belle II,Liberty Belle II,good,Female,Human,- // 0 cm,- lb // 0 kg,null,42,null,null,null,null
360,Jessica Cruz,Jessica Cruz,No alter egos found.,DC Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,56,90,46,50,100,55
361,Jessica Jones,Jessica Campbell Jones Cage,Power Woman,Power Woman,good,Female,Human,5'7 // 170 cm,124 lb // 56 kg,56,44,50,70,18,55
362,Jessica Sanders,,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
363,Jigsaw,Billy Russo,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,250 lb // 113 kg,null,null,null,null,null,null
364,Jim Powell,Jim Powell,No alter egos found.,ABC Studios,good,Male,null,- // 0 cm,- lb // 0 kg,38,38,23,80,23,20
365,JJ Powell,JJ Powell,No alter egos found.,ABC Studios,good,Male,null,- // 0 cm,- lb // 0 kg,88,10,8,10,14,10
366,Johann Krauss,Johann Krauss,No alter egos found.,Dark Horse Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,30,null,null,null,null
367,John Constantine,John Constantine,No alter egos found.,DC Comics,good,Male,Human,6'0 // 183 cm,- lb // 0 kg,63,10,8,40,54,65
368,John Stewart,John Stewart,No alter egos found.,DC Comics,good,Male,Human,6'1 // 185 cm,201 lb // 90 kg,56,85,42,64,100,65
369,John Wraith,John Wraith,No alter egos found.,Marvel Comics,good,Male,null,6'0 // 183 cm,195 lb // 88 kg,75,12,35,28,87,80
370,Joker,Jack Napier,No alter egos found.,DC Comics,bad,Male,Human,6'5 // 196 cm,192 lb // 86 kg,100,10,12,60,43,70
371,Jolt,Helen Takahama,No alter egos found.,Marvel Comics,good,Female,null,5'5 // 165 cm,109 lb // 49 kg,63,12,27,32,31,42
372,Jubilee,Jubilation Lee,No alter egos found.,Marvel Comics,good,Female,Mutant,5'5 // 165 cm,115 lb // 52 kg,56,8,22,20,66,90
373,Judge Dredd,Joseph Dredd,No alter egos found.,Rebellion,good,Male,Human,6'2 // 188 cm,- lb // 0 kg,75,18,38,50,52,95
374,Juggernaut,Cain Marko,No alter egos found.,Marvel Comics,neutral,Male,Human,9'5 // 287 cm,1900 lb // 855 kg,44,100,42,100,85,70
375,Junkpile,,No alter egos found.,Marvel Comics,bad,Male,Mutant,- // 0 cm,- lb // 0 kg,50,38,17,90,81,30
376,Justice,Vance Astrovik,No alter egos found.,Marvel Comics,good,Male,Human,5'10 // 178 cm,180 lb // 81 kg,50,10,33,70,55,30
377,Jyn Erso,Jyn Erso,No alter egos found.,George Lucas,good,Female,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
378,K-2SO,,No alter egos found.,George Lucas,good,Male,Android,7'0 // 213 cm,- lb // 0 kg,null,null,null,null,null,null
379,Kang,Nathaniel Richards,Iron Lad,Iron Lad,bad,Male,null,6'3 // 191 cm,230 lb // 104 kg,100,48,58,70,100,70
380,Kathryn Janeway,Kathryn Janeway,No alter egos found.,Star Trek,good,Female,Human,- // 0 cm,- lb // 0 kg,75,8,21,25,21,50
381,Katniss Everdeen,Katniss Everdeen,No alter egos found.,,good,Female,Human,- // 0 cm,- lb // 0 kg,56,8,21,25,24,55
